MUNI_ID|MUNI_NOMBRE|DEPA_NOMBRE|PUNTAJE_PROMEDIO|ERRORESTANDARPROMEDIO|DESVIACION|PORCENTAJE_INSUFICIENTE|PORCENTAJE_MINIMO|PORCENTAJE_SATISFACTORIO|PORCENTAJE_AVANZADO|N
50606|Restrepo|Meta|317|0,765|67|33|28|21|18|349
76606|Restrepo|Valle Del Cauca|298|0,765|57|43|33|15|10|250
05607|Retiro|Antioquia|318|0,918|64|36|26|17|21|357
25612|Ricaurte|Cundinamarca|270|1,071|54|61|27|9|4|157
52612|Ricaurte|Nariño|268|1,173|48|64|24|7|6|226
73616|Rioblanco|Tolima|277|0,663|55|57|29|9|5|459
76616|Riofrío|Valle Del Cauca|294|1,633|64|42|36|13|9|216
44001|Riohacha|La Guajira|266|0,255|51|65|22|8|5|4293
05615|Rionegro|Antioquia|315|0,306|63|33|31|19|17|1822
68615|Rionegro|Santander|304|0,51|63|35|34|21|10|539
17614|Riosucio|Caldas|295|0,306|53|41|36|15|8|804
27615|Riosucio|Chocó|257|0,816|58|72|18|7|4|382
17616|Risaralda|Caldas|295|1,224|63|46|28|18|9|193
41615|Rivera|Huila|311|0,765|62|35|34|17|15|408
52621|Roberto Payán|Nariño|243|1,684|39|82|12|4|2|170
76622|Roldanillo|Valle Del Cauca|302|0,663|66|41|30|15|14|510
73622|Roncesvalles|Tolima|279|0,765|47|55|30|13|3|112
15621|Rondón|Boyacá|346|1,276|67|12|33|30|26|43
19622|Rosas|Cauca|299|1,02|57|43|29|17|12|147
73624|Rovira|Tolima|295|0,714|59|42|34|16|9|469
15600|Ráquira|Boyacá|299|1,429|72|47|26|12|15|116
27580|Río Iró|Chocó|267|1,122|52|65|22|11|2|114
27600|Río Quito|Chocó|280|1,071|65|48|32|14|7|155
13600|Río Viejo|Bolívar|263|1,633|50|68|25|6|2|106
20614|Río de Oro|Cesar|306|0,969|60|39|33|15|13|333
