MUNI_ID|MUNI_NOMBRE|DEPA_NOMBRE|PUNTAJE_PROMEDIO|ERRORESTANDARPROMEDIO|DESVIACION|PORCENTAJE_INSUFICIENTE|PORCENTAJE_MINIMO|PORCENTAJE_SATISFACTORIO|PORCENTAJE_AVANZADO|N
41770|Suaza|Huila|316|0,51|56|10|45|31|14|413
25769|Subachoque|Cundinamarca|357|0,612|58|6|23|37|35|305
19785|Sucre|Cauca|308|1,633|47|10|51|29|9|117
68773|Sucre|Santander|316|1,378|60|10|51|25|14|146
70771|Sucre|Sucre|287|0,663|47|20|54|22|4|471
25772|Suesca|Cundinamarca|322|0,51|55|5|41|41|13|239
25777|Supatá|Cundinamarca|375|1,531|51|0|16|37|48|90
17777|Supía|Caldas|310|0,561|53|10|47|35|8|371
68780|Suratá|Santander|325|3,01|70|10|44|26|20|61
25779|Susa|Cundinamarca|307|0|53|11|51|30|8|110
15774|Susacón|Boyacá|412|1,99|67|0|11|19|69|36
15776|Sutamarchán|Boyacá|303|0,816|64|17|42|31|10|88
25781|Sutatausa|Cundinamarca|372|1,02|65|2|15|47|36|99
15778|Sutatenza|Boyacá|340|0|65|5|29|41|26|42
19780|Suárez|Cauca|283|1,122|49|23|55|18|5|393
73770|Suárez|Tolima|281|2,041|52|15|63|19|4|54
15638|Sáchica|Boyacá|300|1,224|54|14|49|28|9|57
25785|Tabio|Cundinamarca|329|0,765|61|8|37|32|23|360
27787|Tadó|Chocó|273|0,714|49|27|55|16|2|452
13780|Talaigua Nuevo|Bolívar|268|1,02|51|29|57|12|2|251
20787|Tamalameque|Cesar|290|0,969|53|19|49|26|6|370
81794|Tame|Arauca|300|0,357|54|16|49|27|9|1216
52786|Taminango|Nariño|304|0,816|45|12|51|30|8|241
52788|Tangua|Nariño|330|1,48|40|3|35|47|15|119
97666|Taraira|Vaupés|324|5,867|49|0|39|54|8|13
91798|Tarapacá|Amazonas|278|1,888|40|20|62|16|1|74
05790|Tarazá|Antioquia|286|0,612|52|20|57|19|5|815
41791|Tarqui|Huila|308|0,663|55|13|45|33|10|393
15790|Tasco|Boyacá|320|0,561|51|6|39|46|9|113
85410|Tauramena|Casanare|304|0,408|53|13|51|28|9|375
25793|Tausa|Cundinamarca|328|1,071|64|6|40|37|17|158
41799|Tello|Huila|296|0,918|53|14|56|25|6|220
25797|Tena|Cundinamarca|309|0,816|63|13|49|26|12|152
47798|Tenerife|Magdalena|286|0,765|55|21|54|21|4|274
25799|Tenjo|Cundinamarca|340|0,561|58|6|31|34|29|586
15798|Tenza|Boyacá|337|2,092|60|4|35|44|18|55
54800|Teorama|Norte De Santander|301|0,663|57|18|44|30|8|343
41801|Teruel|Huila|292|0,357|50|16|55|23|6|141
41797|Tesalia|Huila|324|0,765|66|9|42|26|23|213
25805|Tibacuy|Cundinamarca|348|2,194|55|2|28|48|22|67
15804|Tibaná|Boyacá|330|0,765|54|4|42|34|20|143
15806|Tibasosa|Boyacá|331|0,765|54|6|34|42|18|204
25807|Tibirita|Cundinamarca|307|1,429|60|14|41|37|8|49
54810|Tibú|Norte De Santander|275|0,51|47|26|56|17|2|1086
23807|Tierralta|Córdoba|280|0,306|49|24|54|18|4|2244
41807|Timaná|Huila|316|0,612|57|12|43|31|14|408
19809|Timbiquí|Cauca|267|0,867|42|28|63|7|2|377
19807|Timbío|Cauca|326|0,459|54|7|36|40|17|488
15808|Tinjacá|Boyacá|316|0,459|61|14|35|37|15|52
15810|Tipacoque|Boyacá|331|0,867|68|10|38|30|22|50
13810|Tiquisio|Bolívar|263|0,765|46|34|54|9|3|458
05809|Titiribí|Antioquia|307|1,48|57|9|52|27|11|149
15814|Toca|Boyacá|326|1,02|61|9|36|36|19|160
25815|Tocaima|Cundinamarca|286|0,816|52|21|52|24|3|203
25817|Tocancipá|Cundinamarca|321|0,357|57|9|40|37|15|670
15816|Togüí|Boyacá|308|1,684|55|8|54|28|10|89
05819|Toledo|Antioquia|299|1,276|50|11|55|30|4|105
54820|Toledo|Norte De Santander|320|1,02|56|6|48|31|15|321
70823|Tolú Viejo|Sucre|295|0,51|54|16|54|23|8|450
68820|Tona|Santander|319|1,531|60|13|39|30|18|132
25823|Topaipí|Cundinamarca|301|2,296|51|11|51|31|7|45
19821|Toribio|Cauca|283|0,51|47|20|58|19|3|638
76823|Toro|Valle Del Cauca|301|1,071|64|18|44|26|12|207
15822|Tota|Boyacá|296|0,306|54|14|60|20|7|104
19824|Totoró|Cauca|281|0,663|48|21|56|20|4|426
76828|Trujillo|Valle Del Cauca|298|1,122|59|18|46|28|8|232
08832|Tubará|Atlántico|288|0,663|53|19|52|24|5|181
76834|Tuluá|Valle Del Cauca|321|0,255|57|10|41|31|18|2795
52835|Tumaco|Nariño|265|0,306|45|33|54|11|2|3679
15001|Tunja|Boyacá|345|0,153|58|6|30|35|29|3348
15832|Tununguá|Boyacá|322|3,265|55|10|42|36|13|31
13836|Turbaco|Bolívar|310|0,357|56|14|44|29|13|1338
13838|Turbaná|Bolívar|276|0,51|54|22|58|16|4|306
05837|Turbo|Antioquia|277|0,204|50|25|55|16|4|3868
15835|Turmequé|Boyacá|337|1,48|63|6|35|36|22|125
15837|Tuta|Boyacá|340|0,51|53|4|32|43|21|180
15839|Tutazá|Boyacá|349|0|58|0|32|46|21|28
85400|Támara|Casanare|310|1,173|56|12|45|32|11|181
05789|Támesis|Antioquia|325|0,765|57|7|41|35|17|230
15820|Tópaga|Boyacá|310|1,888|57|17|28|47|9|58
52838|Túquerres|Nariño|317|0,51|47|9|43|36|12|659
25839|Ubalá|Cundinamarca|318|1,531|58|10|43|32|16|167
25841|Ubaque|Cundinamarca|325|0|64|9|40|34|17|107
76845|Ulloa|Valle Del Cauca|311|1,633|51|11|40|43|7|86
15842|Umbita|Boyacá|313|0,561|50|7|52|32|9|103
25845|Une|Cundinamarca|313|1,071|60|13|40|33|14|109
27800|Unguía|Chocó|293|0,969|48|17|52|26|5|184
27810|Unión Panamerican|Chocó|299|0,459|42|14|51|30|5|125
05842|Uramita|Antioquia|329|1,122|62|9|39|32|21|141
50370|Uribe|Meta|311|1,224|58|8|54|25|13|166
44847|Uribia|La Guajira|255|0,306|44|39|52|7|1|3111
05847|Urrao|Antioquia|298|0,612|54|15|50|26|9|525
44855|Urumita|La Guajira|285|0,969|51|24|48|27|1|167
08849|Usiacurí|Atlántico|298|3,622|58|18|52|23|8|129
05854|Valdivia|Antioquia|303|0,918|52|9|58|27|6|326
23855|Valencia|Córdoba|277|0,459|49|24|57|15|3|815
68855|Valle de San José|Santander|316|0,918|53|10|43|38|10|93
73854|Valle de San Juan|Tolima|289|1,888|55|22|48|24|6|83
86865|Valle del Guamuez|Putumayo|298|0,306|54|16|52|26|7|620
20001|Valledupar|Cesar|311|0,153|55|13|44|29|14|8835
05856|Valparaíso|Antioquia|310|1,633|57|12|42|36|10|83
18860|Valparaíso|Caquetá|297|0,612|46|10|61|25|5|147
05858|Vegachí|Antioquia|294|1,071|52|15|53|27|5|248
73861|Venadillo|Tolima|286|0,969|55|21|51|24|4|217
05861|Venecia|Antioquia|309|1,02|62|15|40|30|15|193
25506|Venecia|Cundinamarca|306|1,786|56|10|54|31|4|68
15861|Ventaquemada|Boyacá|317|0,51|59|12|40|33|16|268
25862|Vergara|Cundinamarca|312|1,582|51|7|49|33|11|85
76863|Versalles|Valle Del Cauca|286|2,041|58|22|49|21|8|76
68867|Vetas|Santander|301|0|66|24|35|32|8|37
25867|Vianí|Cundinamarca|346|1,837|42|2|25|64|9|44
17867|Victoria|Caldas|309|1,531|58|15|39|36|11|143
05873|Vigía del Fuerte|Antioquia|266|0,969|44|28|58|13|1|142
76869|Vijes|Valle Del Cauca|311|1,48|54|11|43|36|10|158
54871|Villa Caro|Norte De Santander|346|1,378|57|3|30|40|26|87
19845|Villa Rica|Cauca|260|0,663|43|37|53|9|1|310
15407|Villa de Leyva|Boyacá|324|0,561|57|8|42|32|18|278
25843|Villa de San Dieg|Cundinamarca|330|0,306|61|8|37|35|20|776
73043|Anzoátegui|Tolima|298|1,429|53|13|55|25|7|189
05045|Apartadó|Antioquia|290|0,255|52|18|52|23|7|2581
25599|Apulo|Cundinamarca|286|1,071|58|18|55|23|5|102
66045|Apía|Risaralda|309|1,02|58|12|45|32|12|165
15047|Aquitania|Boyacá|307|0,459|61|15|45|27|13|321
47053|Aracataca|Magdalena|275|0,51|51|27|53|16|5|755
17050|Aranzazu|Caldas|336|2,143|59|4|38|36|23|167
68051|Aratoca|Santander|306|0,867|62|12|48|30|11|181
81001|Arauca|Arauca|308|0,255|57|14|45|30|11|1627
81065|Arauquita|Arauca|291|0,561|55|17|52|25|6|778
25053|Arbeláez|Cundinamarca|328|1,071|58|7|39|38|17|173
52051|Arboleda|Nariño|302|0,561|41|5|60|29|6|120
54051|Arboledas|Norte De Santander|324|0,408|60|8|40|33|19|156
05051|Arboletes|Antioquia|292|0,612|51|16|54|25|5|703
15051|Arcabuco|Boyacá|332|1,173|70|7|38|33|22|97
13042|Arenal|Bolívar|275|0,918|50|27|56|15|2|170
05055|Argelia|Antioquia|296|1,122|49|15|54|27|5|124
19050|Argelia|Cauca|297|0,816|48|12|57|26|5|517
76054|Argelia|Valle Del Cauca|308|1,837|53|13|45|35|7|85
47058|Ariguaní|Magdalena|277|0,663|48|25|56|17|3|566
13052|Arjona|Bolívar|285|0,255|49|22|52|20|6|1282
63001|Armenia|Quindio|320|0,255|59|10|41|31|18|3757
05059|Armenia|Antioquia|304|0|52|14|43|36|7|58
73055|Armero|Tolima|291|1,224|57|21|49|23|7|203
13062|Arroyohondo|Bolívar|268|1,786|52|32|48|20|1|149
20032|Astrea|Cesar|305|0,714|53|12|47|32|9|435
73067|Ataco|Tolima|288|0,714|54|20|53|23|5|388
27050|Atrato|Chocó|292|1,99|58|21|46|29|4|103
23068|Ayapel|Córdoba|280|0,51|50|23|55|18|5|910
27073|Bagadó|Chocó|248|0,867|38|47|45|6|1|233
27075|Bahía Solano|Chocó|261|0,663|42|31|58|9|1|257
27077|Bajo Baudó|Chocó|284|0,561|49|23|53|20|4|316
19075|Balboa|Cauca|308|0,867|53|12|48|30|11|385
66075|Balboa|Risaralda|301|2,245|52|12|53|30|4|92
08078|Baranoa|Atlántico|308|0,357|53|14|45|30|11|1001
41078|Baraya|Huila|304|1,122|53|14|46|35|6|140
52079|Barbacoas|Nariño|265|0,612|40|30|59|11|1|719
05079|Barbosa|Antioquia|310|0,51|58|12|44|33|11|633
68077|Barbosa|Santander|314|0,459|61|12|41|32|15|535
68079|Barichara|Santander|354|0,459|60|3|28|36|33|139
50110|Barranca de Upía|Meta|298|1,071|54|13|53|27|7|127
68081|Barrancabermeja|Santander|310|0,204|59|14|44|27|15|4244
44078|Barrancas|La Guajira|282|0,663|49|25|53|18|5|568
13074|Barranco de Loba|Bolívar|267|0,714|44|27|58|13|1|387
08001|Barranquilla|Atlántico|318|0,051|55|11|41|31|17|18882
20045|Becerril|Cesar|282|0,561|53|22|54|20|4|461
17088|Belalcázar|Caldas|309|0,765|54|15|43|28|14|169
05088|Bello|Antioquia|321|0,153|59|10|41|32|17|6552
05086|Belmira|Antioquia|306|1,276|53|11|49|33|7|133
25086|Beltrán|Cundinamarca|291|0|57|14|57|20|9|35
15087|Belén|Boyacá|324|0,612|64|7|47|28|18|138
52083|Belén|Nariño|319|1,276|47|10|39|38|12|89
27086|Belén de Bajirá|Chocó|266|0,969|46|30|57|12|2|311
66088|Belén de Umbría|Risaralda|304|0,612|53|12|51|30|8|403
18094|Belén de los Anda|Caquetá|293|0,714|48|16|54|27|4|215
15090|Berbeo|Boyacá|322|0,102|66|11|36|32|21|28
05091|Betania|Antioquia|309|1,02|49|7|53|33|7|167
05093|Betulia|Antioquia|301|0,867|53|12|55|24|9|275
68092|Betulia|Santander|318|1,633|53|7|49|30|14|100
15092|Betéitiva|Boyacá|337|0|32|0|27|68|5|22
25095|Bituima|Cundinamarca|302|1,633|67|21|38|30|11|47
15097|Boavita|Boyacá|339|1,173|57|2|36|41|21|86
54099|Bochalema|Norte De Santander|313|1,071|54|9|49|31|11|122
11001|Bogotá, D.C.|Bogotá, D.C.|334|0,051|59|8|35|35|23|98437
25099|Bojacá|Cundinamarca|310|0,714|58|12|42|38|9|189
27099|Bojaya|Chocó|250|0,459|44|43|49|6|2|271
19100|Bolívar|Cauca|311|0,408|52|10|46|34|10|585
