COD_DANE|EVALUADOS|PARTICIPANTES|COPIA|PESO|PROMEDIO|ERROR_ESTANDAR|DESVIACION|INSUFICIENTE|MINIMO|SATISFACTORIO|AVANZADO
368081003774|10|10|0|10|315|0|61|10|50|20|20
168190002053|161|161|1|161|309|1,32653|56|31|38|21|11
268190000195|51|51|1|50|276|2,65306|63|54|26|14|6
168092000174|30|30|0|30|300|0|60|40|33|13|13
268190000292|23|23|0|23|263|0|47|74|13|13|0
268077000235|82|82|0|80|301|1,37755|68|39|30|20|11
268190000527|18|18|0|18|340|0|61|11|50|17|22
368081000031|53|53|0|53|375|0|76|11|15|34|40
368081000066|28|28|0|28|307|0|60|29|39|18|14
368081000074|22|22|0|22|352|0|72|18|18|32|32
268101000781|16|16|0|16|259|0|56|50|44|6|0
268190000951|42|42|0|42|324|0|71|38|17|17|29
368190001412|33|33|0|33|329|3,62245|72|24|27|24|24
168147000012|55|55|0|55|321|0|62|24|38|22|16
268147000114|25|25|0|25|341|0,05102|72|20|28|32|20
168245000349|23|23|0|23|313|5,5102|67|44|26|13|17
168081000598|217|217|0|217|283|1,53061|60|54|27|13|7
168217000449|50|50|0|50|296|0|53|42|36|18|4
168081001306|416|416|0|416|278|0,96939|60|56|28|11|5
268101000250|61|61|0|61|293|1,07143|55|43|33|18|7
368081003189|21|21|0|20|325|0|64|25|30|30|15
268217000168|60|60|0|60|293|0|72|48|32|10|10
268081000690|84|84|0|84|264|1,58163|55|64|25|8|2
268081001220|131|131|0|131|288|1,58163|55|45|37|12|7
368276002063|17|17|0|17|426|0|76|0|6|29|65
268276000040|54|54|1|53|333|0|65|25|36|19|21
268385000327|68|68|0|68|288|1,83673|54|47|34|15|4
168397000051|25|25|0|24|309|2,09184|55|33|25|33|8
368276002772|6|6|0|6|338|0|73|17|33|17|33
268397000110|11|11|0|11|305|0|58|36|36|18|9
368276001326|23|23|0|23|286|0|62|52|26|13|9
168296000017|21|21|0|20|324|0|81|30|25|10|35
268296000071|17|17|0|17|277|0|58|65|18|12|6
368276001504|15|15|0|15|307|0|91|47|20|7|27
368276001555|16|16|0|16|298|0|56|38|44|6|13
368276001563|40|40|0|40|344|0|65|20|28|25|28
168276001050|119|119|1|117|293|0,91837|55|43|33|18|6
