ID_SEDE|CODIGO_DANE_SEDE|JORNADA|EVALUADOS|PARTICIPANTES|COPIA|INSUFICIENTE|MINIMO|SATISFACTORIO|AVANZADO
114529|217050000477|C|3|3|0|0|0|1|2
114530|217050000485|C|3|3|0|0|0|1|2
114532|217050000523|C|1|1|0|0|0|1|0
114533|217050000558|C|1|1|0|0|0|1|0
114534|217088000012|M|2|2|0|0|0|0|1
114535|217088000039|M|2|2|0|1|1|0|0
114536|217088000047|C|1|1|0|0|1|0|0
114537|217088000055|M|3|3|0|0|2|1|0
114538|217088000063|M|2|2|0|0|1|1|0
114539|217088000071|C|6|6|0|4|2|0|0
114540|217088000080|M|4|4|0|0|1|1|1
114541|217088000101|C|7|7|0|2|2|2|1
114542|217088000152|M|1|1|0|0|1|0|0
114543|217088000179|M|2|2|0|0|2|0|0
114545|217088000209|M|1|1|0|0|0|1|0
114546|217088000225|M|3|3|0|0|0|1|2
114548|217088000268|M|4|4|0|0|2|2|0
114549|217088000276|C|2|2|0|0|1|0|1
114551|217088000314|M|6|6|0|0|1|4|1
114552|217088000381|M|3|3|0|1|1|1|0
114553|217088000390|M|3|3|0|0|0|2|1
114554|217088000403|C|4|4|0|1|3|0|0
114556|217088000519|M|2|2|0|1|1|0|0
114558|217174000017|M|3|3|0|0|1|2|0
114559|217174000084|M|1|1|0|0|0|0|1
114560|217174000092|M|18|18|0|3|13|2|0
114561|217174000106|M|2|2|0|0|2|0|0
114562|217174000114|M|5|5|0|0|3|2|0
114563|217174000122|M|2|2|0|0|0|1|1
114564|217174000165|M|3|3|0|0|2|0|1
114565|217174000173|M|4|4|0|0|4|0|0
114566|217174000181|M|10|10|0|3|4|1|0
114567|217174000190|M|20|20|1|6|11|2|0
114568|217174000211|M|4|4|0|0|3|0|1
114569|217174000220|M|15|15|0|2|9|4|0
114570|217174000238|M|5|5|0|0|3|1|1
114571|217174000246|M|4|4|0|2|2|0|0
114572|217174000378|M|9|9|0|1|5|3|0
114573|217174000394|M|10|10|0|1|5|4|0
114574|217174000408|M|3|3|0|0|3|0|0
114575|217174000645|M|5|5|0|1|3|1|0
114576|217272000017|M|5|5|0|3|2|0|0
114578|217272000033|C|1|1|0|0|1|0|0
114580|217272000068|C|6|6|0|1|2|3|0
114581|217272000076|M|4|4|0|2|0|2|0
114583|217272000106|T|22|22|0|1|8|8|5
114584|217272000149|M|1|1|0|0|0|0|1
114585|217272000157|M|3|3|0|0|2|0|1
114586|217272000165|M|1|1|0|0|0|0|1
114587|217272000181|C|3|3|0|0|2|1|0
114588|217272000203|C|10|10|0|1|4|4|1
114589|217272000211|C|2|2|0|1|0|1|0
114590|217272000238|C|1|1|0|0|0|1|0
114591|217272000246|C|1|1|0|0|0|1|0
114592|217272000262|M|18|18|0|2|15|1|0
114593|217272000271|M|2|2|0|0|2|0|0
114594|217272000289|C|1|1|0|0|0|0|1
114595|217272000351|C|2|2|0|0|0|0|2
114596|217272000378|M|3|3|0|0|3|0|0
114597|217272000408|C|1|1|0|0|1|0|0
114598|217272000424|C|2|2|0|0|0|0|2
114601|217272000521|C|1|1|0|0|1|0|0
114602|217272000530|M|2|2|0|1|0|1|0
114603|217272000556|C|2|2|0|1|1|0|0
114604|217272000611|C|2|2|0|0|0|1|1
114607|217380000244|T|27|27|0|5|13|9|0
114612|217388000057|C|1|1|0|0|1|0|0
114613|217388000332|C|2|2|0|1|1|0|0
114619|217433000021|C|3|3|0|1|2|0|0
114621|217433000055|C|2|2|0|1|0|1|0
114622|217433000063|C|7|7|0|0|1|2|4
114623|217433000071|C|4|4|0|1|2|1|0
114624|217433000080|U|8|8|0|1|4|2|1
114625|217433000098|C|8|8|0|3|4|1|0
114626|217433000128|C|1|1|0|0|1|0|0
114627|217433000136|C|8|8|1|0|0|4|4
114628|217433000144|C|4|4|0|0|0|3|1
114629|217433000152|C|1|1|0|0|0|0|1
114630|217433000161|C|3|3|0|1|0|2|0
114632|217433000217|C|5|5|0|0|1|3|1
114633|217433000225|C|1|1|0|0|1|0|0
114634|217433000233|C|1|1|0|0|0|1|0
114635|217433000241|C|1|1|0|0|0|1|0
114636|217433000250|C|3|3|0|0|1|2|0
114637|217433000276|C|1|1|0|0|1|0|0
114638|217433000284|C|1|1|0|0|1|0|0
114639|217433000292|C|2|2|0|0|1|1|0
114640|217433000306|C|8|8|0|1|1|4|2
114641|217433000390|C|1|1|0|0|0|1|0
114642|217433000403|C|6|6|0|0|6|0|0
114643|217433000420|C|1|1|0|0|1|0|0
114644|217433000446|C|3|3|0|0|2|1|0
114645|217433000497|C|4|4|0|0|0|3|1
114646|217433000501|C|6|6|0|1|3|2|0
114647|217433000551|C|1|1|0|0|1|0|0
114648|217433000560|C|1|1|0|0|1|0|0
114649|217433000616|C|4|4|0|0|4|0|0
114650|217433000748|C|1|1|0|0|0|1|0
114652|217433000781|C|1|1|0|0|1|0|0
114653|217433000829|C|3|3|0|0|0|3|0
114655|217442000017|C|25|25|0|2|3|16|4
114656|217442000050|C|2|2|0|0|1|1|0
114657|217442000092|C|9|9|1|1|4|4|0
114658|217442000106|C|5|5|0|1|3|0|1
114659|217442000131|C|8|8|0|0|1|7|0
114661|217442000165|C|7|7|0|0|3|3|1
114662|217442000190|C|8|8|1|0|6|2|0
114663|217442000289|C|4|4|0|0|2|2|0
114664|217442000297|C|2|2|0|0|0|1|1
114665|217444000014|C|8|8|0|0|2|4|2
114669|217444000103|C|8|8|0|0|4|3|1
114670|217444000111|C|2|2|0|0|1|0|1
114671|217444000120|C|4|4|0|0|0|1|3
114672|217444000146|C|6|6|0|0|2|2|2
114674|217444000171|C|5|5|0|0|1|4|0
114675|217444000189|C|3|3|0|0|0|0|3
114676|217444000197|C|2|2|0|0|0|1|1
114679|217444000243|C|4|4|0|0|3|1|0
114680|217444000251|C|4|4|0|0|1|2|1
114681|217444000260|C|2|2|0|0|0|1|1
114682|217444000286|C|7|7|0|2|2|2|0
114683|217444000294|C|2|2|0|0|1|1|0
114684|217444000308|C|6|6|0|0|0|3|3
114685|217444000316|C|5|5|0|0|1|3|1
114686|217444000324|C|1|1|0|0|0|0|1
114687|217444000359|C|1|1|0|0|0|0|1
114688|217444000367|C|3|3|0|0|0|0|3
114689|217444000375|C|3|3|0|1|0|1|1
114690|217444000383|C|1|1|0|0|0|1|0
114691|217444000481|C|3|3|0|0|0|2|1
114692|217444000499|C|3|3|0|0|2|1|0
114693|217444000511|C|1|1|0|0|1|0|0
114694|217444000561|C|3|3|0|0|1|2|0
114696|217444000634|C|1|1|0|0|0|0|1
114697|217444000651|C|1|1|0|0|0|1|0
114698|217444000693|C|1|1|0|0|0|0|1
114699|217444000723|C|3|3|0|0|1|0|2
114700|217444000740|C|1|1|0|0|0|0|1
114703|217446000003|C|2|2|0|0|0|0|2
114704|217446000020|C|1|1|0|0|0|1|0
114705|217446000089|C|2|2|0|0|1|0|1
114707|217446000135|C|1|1|0|0|0|1|0
114708|217446000143|C|6|6|0|1|4|1|0
114709|217446000178|C|3|3|0|0|1|2|0
114712|217486000057|M|2|2|0|0|0|2|0
114713|217486000065|M|3|3|0|0|2|1|0
114715|217486000081|M|1|1|0|0|0|1|0
114716|217486000090|M|1|1|0|0|0|1|0
114717|217486000103|M|7|7|0|0|3|2|2
114718|217486000111|M|3|3|0|1|2|0|0
114719|217486000120|M|3|3|0|0|1|1|1
114720|217486000138|M|5|5|0|0|1|2|2
114721|217486000146|M|8|8|0|2|4|1|1
114723|217486000201|M|3|3|0|1|2|0|0
114724|217486000227|M|8|8|0|2|5|0|0
114725|217486000235|M|3|3|0|0|1|1|0
114726|217486000243|M|4|4|0|0|4|0|0
114727|217486000251|M|16|16|0|3|9|4|0
114728|217486000260|M|1|1|0|0|0|0|1
114730|217486000294|M|2|2|0|0|2|0|0
114731|217486000308|M|2|2|0|0|2|0|0
114732|217486000316|M|1|1|0|0|0|1|0
114733|217486000324|M|1|1|0|0|0|1|0
114734|217486000332|M|3|3|0|0|1|1|1
114735|217486000341|M|1|1|0|0|0|1|0
114736|217486000375|M|4|4|0|0|0|3|1
114737|217486000391|M|9|9|0|1|7|0|1
114738|217486000413|M|1|1|0|0|1|0|0
114739|217486000421|M|1|1|0|0|0|1|0
114740|217486000448|M|2|2|0|0|0|2|0
114741|217486000456|M|1|1|0|0|1|0|0
114742|217486000472|M|1|1|0|0|0|1|0
114743|217486000502|M|2|2|0|0|2|0|0
114744|217486000511|M|2|2|0|0|1|0|1
114745|217486000537|M|1|1|0|0|1|0|0
114746|217486000545|M|10|10|0|0|8|2|0
114747|217486000600|M|1|1|0|0|0|1|0
114748|217486000707|M|3|3|0|0|1|0|2
114749|217486000766|M|2|2|0|1|1|0|0
114752|217486000839|M|3|3|0|0|0|3|0
114753|217486000847|M|2|2|0|0|1|0|1
114754|217513000013|C|1|1|0|0|1|0|0
114755|217513000021|C|4|4|0|0|2|2|0
114756|217513000030|C|2|2|0|0|2|0|0
114757|217513000064|C|4|4|0|1|1|2|0
114758|217513000081|C|2|2|0|0|0|1|1
114759|217513000111|C|8|8|0|2|5|1|0
114760|217513000137|C|2|2|0|0|1|1|0
114761|217513000153|C|5|5|0|1|2|2|0
114762|217513000170|C|4|4|0|0|3|1|0
114763|217513000188|C|2|2|0|0|0|1|1
114764|217513000196|C|2|2|0|0|0|2|0
114765|217513000218|C|6|6|0|0|3|2|1
114766|217513000234|C|5|5|0|1|1|3|0
114767|217513000285|C|10|10|0|0|6|3|1
114769|217513000315|C|1|1|0|0|0|1|0
114770|217513000323|C|2|2|0|1|0|1|0
114771|217513000331|C|2|2|0|0|0|1|1
114772|217513000340|C|1|1|0|0|0|0|1
114774|217513000391|C|1|1|0|0|0|1|0
114776|217513000480|C|2|2|0|0|0|0|2
114777|217513000498|C|3|3|0|0|2|0|1
114778|217513000501|C|2|2|0|0|0|1|1
114780|217513000536|C|3|3|0|2|1|0|0
114781|217513000544|C|2|2|0|0|1|0|1
114782|217513000587|C|3|3|0|0|0|0|3
114783|217513000684|C|2|2|0|0|0|1|1
114784|217513000692|C|1|1|0|0|0|1|0
114785|217513000765|C|6|6|0|0|3|1|1
114786|217524000023|M|17|17|0|5|9|2|0
114787|217524000058|M|1|1|0|0|1|0|0
114788|217524000066|M|9|9|0|0|4|3|2
114789|217524000074|M|2|2|0|1|0|1|0
114790|217524000091|T|26|26|0|3|17|5|1
114791|217524000091|M|48|48|0|4|22|19|3
114792|217524000139|M|10|10|0|1|5|3|1
114794|217524000155|M|2|2|0|0|0|1|1
114796|217524000228|M|2|2|0|0|0|0|2
114797|217524000236|M|12|12|0|0|8|4|0
114798|217524000325|M|3|3|0|2|0|0|1
114799|217524000333|M|1|1|0|0|1|0|0
114809|217541000126|C|18|18|0|2|9|6|1
114811|217541000151|C|3|3|0|0|1|2|0
114818|217541000231|C|2|2|0|0|0|1|1
114820|217541000266|C|3|3|0|0|1|2|0
114822|217541000291|C|3|3|0|0|3|0|0
114823|217541000321|C|4|4|0|0|1|0|3
