ID_SEDE|CODIGO_DANE_SEDE|JORNADA|EVALUADOS|PARTICIPANTES|COPIA|INSUFICIENTE|MINIMO|SATISFACTORIO|AVANZADO
130063|254720001693|M|4|4|0|3|1|0|0
130071|254720001791|M|1|1|0|0|1|0|0
130074|254720001880|M|1|1|0|0|1|0|0
130075|254720001898|M|4|4|0|0|1|2|1
130078|254720001928|M|3|3|0|0|1|0|2
130081|254720002011|M|2|2|0|0|1|1|0
130083|254720002045|M|2|2|0|2|0|0|0
130086|254720002070|M|2|2|0|2|0|0|0
130088|254720002118|M|2|2|0|1|1|0|0
130089|254720002126|M|2|2|0|0|0|1|1
130113|254800000019|M|3|3|0|1|1|1|0
130114|254800000035|M|3|3|0|1|0|2|0
130115|254800000051|C|2|2|0|1|1|0|0
130116|254800000060|M|2|2|0|0|0|2|0
130117|254800000081|M|44|44|1|6|15|17|6
130118|254800000094|M|1|1|0|0|1|0|0
130119|254800000108|M|7|7|0|2|3|1|1
130120|254800000116|M|5|5|0|0|1|2|2
130121|254800000124|M|1|1|0|0|0|1|0
130122|254800000159|M|3|3|0|3|0|0|0
130123|254800000167|M|2|2|0|0|1|1|0
130125|254800000191|M|3|3|0|1|1|1|0
130126|254800000205|M|2|2|0|2|0|0|0
130127|254800000221|M|1|1|0|0|1|0|0
130133|254800000388|M|3|3|0|0|2|1|0
130134|254800000434|M|3|3|0|0|1|2|0
130135|254800000442|M|5|5|0|4|0|0|1
130136|254800000451|M|3|3|0|2|0|1|0
130137|254800000507|M|4|4|0|0|1|3|0
130138|254800000515|M|1|1|0|0|0|1|0
130139|254800000591|M|2|2|0|2|0|0|0
130140|254800000604|M|2|2|0|1|0|1|0
130141|254800000621|M|1|1|0|1|0|0|0
130142|254800000639|M|4|4|0|4|0|0|0
130143|254800000671|M|1|1|0|0|0|0|1
130144|254800000698|M|9|9|0|7|1|1|0
130145|254800000701|M|1|1|0|1|0|0|0
130146|254800000728|C|8|8|0|7|1|0|0
130147|254800000736|C|2|2|0|2|0|0|0
130148|254800000752|M|1|1|0|0|0|0|1
130150|254800000779|M|2|2|0|1|1|0|0
130151|254800000787|M|4|4|0|4|0|0|0
130153|254800000809|M|4|4|0|0|3|1|0
130154|254800000817|M|2|2|0|1|1|0|0
130155|254800000825|M|3|3|0|0|1|2|0
130156|254800000833|M|3|3|0|1|2|0|0
130157|254800000841|M|3|3|0|1|1|1|0
130158|254800000876|M|3|3|0|1|0|0|2
130159|254800000884|M|1|1|0|1|0|0|0
130161|254800000906|M|4|4|0|4|0|0|0
130162|254800000922|M|2|2|0|1|1|0|0
130163|254800000931|M|4|4|0|3|1|0|0
130167|254800001007|M|6|6|0|0|1|4|1
130169|254800001023|M|4|4|0|0|3|1|0
130171|254800001040|M|5|5|0|3|2|0|0
130172|254800001058|M|5|5|0|4|0|1|0
130173|254800001091|M|1|1|0|0|0|0|1
130174|254800001112|M|2|2|0|2|0|0|0
130175|254800001121|M|1|1|0|0|0|1|0
130176|254800001139|M|1|1|0|0|0|0|1
130177|254800001171|M|1|1|0|1|0|0|0
130178|254800001180|M|2|2|0|0|1|1|0
130179|254800001198|M|1|1|0|1|0|0|0
130180|254800001201|M|1|1|0|0|0|0|1
130181|254800001210|M|4|4|0|1|1|2|0
130182|254800001228|M|3|3|0|0|2|1|0
130183|254800001244|M|1|1|0|1|0|0|0
130184|254800001252|M|2|2|0|0|0|1|1
130185|254800001261|C|3|3|0|3|0|0|0
130186|254800001279|M|1|1|0|0|0|1|0
130188|254800001341|M|2|2|0|1|1|0|0
130190|254800002232|M|1|1|0|0|0|0|1
130192|254800002372|M|1|1|0|0|0|0|1
130193|254800009918|M|2|2|0|2|0|0|0
130196|254810000122|M|4|4|0|4|0|0|0
130200|254810000173|M|8|8|0|2|3|2|1
130202|254810000211|M|2|2|0|2|0|0|0
130203|254810000246|M|3|3|0|2|1|0|0
130204|254810000254|M|8|8|0|7|1|0|0
130205|254810000262|M|1|1|0|0|1|0|0
130206|254810000271|M|2|2|0|2|0|0|0
130207|254810000289|M|2|2|0|2|0|0|0
130209|254810000301|M|6|6|0|6|0|0|0
130210|254810000319|M|6|6|1|1|3|1|1
130211|254810000327|M|15|15|0|12|0|2|1
130213|254810000343|M|16|16|0|5|5|5|1
130214|254810000351|M|12|12|1|5|4|2|1
130215|254810000386|M|25|25|0|22|2|1|0
130216|254810000653|M|9|9|0|9|0|0|0
130220|254810000726|M|12|12|1|3|4|5|0
130222|254810000866|M|1|1|0|1|0|0|0
130224|254810000882|M|2|2|0|1|1|0|0
130225|254810000891|M|1|1|0|1|0|0|0
130226|254810000904|M|1|1|0|0|0|1|0
130229|254810000947|M|5|5|0|2|2|1|0
130230|254810000955|M|2|2|0|1|1|0|0
130232|254810001005|M|1|1|0|0|1|0|0
130233|254810001013|M|5|5|0|3|2|0|0
130234|254810001030|M|2|2|0|2|0|0|0
130239|254810001102|M|2|2|0|1|1|0|0
130241|254810001172|M|5|5|0|2|1|1|1
130243|254810001234|M|2|2|0|1|1|0|0
130244|254810001251|M|2|2|0|0|2|0|0
130246|254810001382|M|3|3|0|3|0|0|0
130248|254810001412|M|2|2|0|2|0|0|0
130249|254810001455|M|8|8|0|2|3|1|2
130250|254810001463|M|1|1|0|0|0|0|1
130251|254810001501|M|5|5|0|4|1|0|0
130252|254810001510|M|3|3|0|2|1|0|0
130253|254810001536|M|3|3|0|1|1|1|0
130254|254810001544|M|3|3|0|0|0|3|0
130256|254810001579|M|5|5|0|3|1|1|0
130257|254810001587|M|1|1|0|1|0|0|0
130258|254810001595|M|7|7|0|4|3|0|0
130259|254810001617|M|2|2|0|2|0|0|0
130262|254810001641|M|9|9|0|5|3|1|0
130263|254810001650|M|4|4|0|2|1|1|0
130265|254810001722|M|1|1|0|1|0|0|0
130269|254810001792|M|1|1|0|1|0|0|0
130272|254810001831|M|2|2|0|1|1|0|0
130275|254810001933|M|8|8|1|3|5|0|0
130277|254810001943|M|3|3|0|0|0|0|3
130278|254810001994|M|1|1|0|1|0|0|0
130281|254810002079|M|6|6|0|3|1|2|0
130284|254810002109|M|4|4|0|1|3|0|0
130285|254810002117|M|1|1|0|0|1|0|0
130286|254810002141|M|3|3|0|0|2|1|0
130290|254810002206|M|2|2|0|1|1|0|0
130291|254810002217|M|3|3|0|2|1|0|0
130292|254810002233|M|1|1|0|1|0|0|0
130295|254810002290|M|3|3|0|2|1|0|0
130301|254810002420|M|30|30|0|23|5|1|1
130302|254810002451|M|2|2|0|0|2|0|0
130307|254810002591|M|1|1|0|1|0|0|0
130322|254810003229|M|3|3|0|3|0|0|0
130327|254810003300|M|5|5|0|1|1|3|0
130329|254810003334|M|2|2|0|0|1|1|0
130330|254820000040|C|4|4|0|1|3|0|0
130331|254820000066|C|5|5|0|4|1|0|0
130334|254820000139|C|4|4|0|2|0|2|0
130335|254820000147|C|1|1|0|0|0|0|1
130337|254820000171|C|3|3|0|0|2|1|0
130338|254820000198|C|11|11|0|3|4|2|2
130339|254820000201|C|4|4|0|2|0|1|1
130341|254820000236|C|1|1|0|0|0|0|1
130342|254820000261|C|2|2|0|1|1|0|0
130343|254820000279|C|3|3|0|0|2|1|0
130344|254820000287|C|1|1|0|1|0|0|0
130346|254820000341|C|1|1|0|0|0|0|1
130347|254820000350|C|3|3|0|2|1|0|0
130348|254820000368|C|4|4|0|0|1|2|1
130350|254820000414|C|3|3|0|0|2|0|1
130351|254820000449|C|2|2|0|1|0|1|0
130353|254820000465|C|1|1|0|0|1|0|0
130354|254820000481|C|3|3|0|2|1|0|0
130356|254820000538|C|3|3|0|0|1|1|1
130357|254820000546|C|3|3|0|1|1|1|0
130358|254820000554|C|2|2|0|0|1|1|0
130359|254820000571|C|3|3|0|1|1|0|1
130360|254820000589|C|1|1|0|0|0|0|1
130361|254820000597|C|1|1|0|0|0|0|1
130363|254820000708|C|6|6|0|0|3|3|0
130364|254820000759|C|5|5|0|2|1|1|1
130365|254820000783|C|2|2|0|1|1|0|0
130366|254820000791|C|1|1|0|0|1|0|0
130368|254820000929|C|1|1|0|0|0|0|1
130370|254820000996|C|3|3|0|1|1|1|0
130371|254820001011|C|1|1|0|0|0|0|1
130374|254820001143|C|2|2|0|0|0|2|0
130375|254820001151|C|4|4|0|1|2|1|0
130376|254820001160|C|1|1|0|0|0|1|0
130377|254820001194|C|3|3|0|0|0|2|1
130379|254820001241|C|2|2|0|1|1|0|0
130380|254820001267|C|2|2|0|0|0|1|1
130381|254820001291|C|3|3|0|2|0|1|0
130383|254820001364|C|5|5|0|2|1|2|0
130385|254820001402|C|3|3|0|1|2|0|0
130386|254820001411|C|2|2|0|1|1|0|0
130388|254820001453|C|1|1|0|0|1|0|0
130390|254820001470|C|4|4|0|0|1|2|1
130391|254820001488|C|5|5|0|0|0|4|1
130392|254820001518|C|1|1|0|0|0|1|0
130394|254820001569|C|3|3|0|0|1|2|0
130395|254820001577|C|1|1|0|0|0|1|0
130399|254820009731|C|3|3|0|0|1|1|1
130400|254871000036|C|2|2|0|0|2|0|0
130401|254871000052|C|4|4|0|0|1|2|1
130402|254871000061|C|5|5|0|1|1|2|1
130406|254871000109|C|3|3|0|1|1|0|1
130408|254871000133|C|4|4|0|1|3|0|0
130411|254871000176|C|1|1|0|0|0|1|0
130412|254871000192|C|2|2|0|0|0|1|1
130413|254871000222|C|4|4|0|0|3|1|0
130414|254871000249|C|1|1|0|0|0|0|1
130415|254871000273|C|2|2|0|1|0|1|0
130416|254871000281|C|1|1|0|0|0|1|0
130418|254871000311|C|2|2|0|0|0|2|0
130419|254871000401|C|1|1|0|1|0|0|0
130420|254871000435|C|2|2|0|1|0|1|0
130422|254871000478|C|2|2|0|1|1|0|0
130423|254871000494|C|1|1|0|1|0|0|0
130424|254871000516|C|1|1|0|0|1|0|0
130425|254871000613|C|6|6|0|2|3|1|0
130427|254871000648|C|2|2|0|2|0|0|0
130428|254871000656|C|2|2|0|0|0|1|1
130429|254871000671|C|3|3|0|0|3|0|0
130433|254874000169|M|3|3|0|1|1|1|0
130435|254874000185|C|35|35|0|14|15|5|1
130436|254874000193|M|1|1|0|1|0|0|0
130439|254874000215|M|1|1|0|1|0|0|0
130440|254874000240|M|74|74|1|27|22|20|5
130441|254874000240|T|74|74|0|44|19|8|3
130442|254874000258|T|73|73|0|38|23|4|7
130443|254874000258|M|39|39|0|15|13|4|4
130446|254874000321|M|5|5|0|3|2|0|0
130447|254874000339|M|131|131|0|56|43|20|10
130448|254874000355|T|49|49|0|24|14|7|4
130451|254874000576|T|120|120|0|89|23|6|2
130452|254874000720|M|26|26|0|7|15|4|0
130453|254874000720|T|25|25|0|14|9|1|1
130454|254874000894|T|31|31|1|18|8|4|1
130455|254874000916|T|48|48|0|30|11|6|1
130456|254874000916|M|36|36|0|15|11|7|3
130457|263001000421|U|21|21|1|9|7|1|2
130459|263001000561|U|4|4|0|1|2|1|0
130461|263001000641|U|1|1|0|0|0|1|0
130462|263001000684|U|3|3|0|0|0|1|1
130464|263001000811|U|5|5|0|2|3|0|0
130465|263001000951|U|4|4|0|0|3|0|0
130466|263001000978|U|5|5|0|1|0|0|0
130467|263001001061|U|7|7|0|2|4|1|0
130468|263001001168|U|2|2|0|1|1|0|0
130469|263001001184|U|2|2|0|0|1|1|0
130470|263001001214|U|2|2|0|1|0|1|0
130471|263001001451|U|2|2|0|2|0|0|0
130483|263130000216|M|2|2|0|0|0|0|2
130484|263130000224|M|2|2|0|2|0|0|0
130485|263130000232|M|4|4|0|0|3|1|0
130486|263130000241|M|4|4|0|0|0|2|2
130488|263130000267|M|3|3|0|0|0|3|0
130489|263130000275|M|1|1|0|0|1|0|0
130490|263130000291|M|29|29|0|21|2|1|0
130492|263130000321|U|3|3|0|2|0|1|0
130494|263130000348|M|3|3|0|0|1|2|0
130496|263130000372|M|4|4|0|1|3|0|0
130497|263130000381|M|2|2|0|1|0|1|0
130498|263130000399|M|1|1|0|0|0|0|1
